"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","goals","victory","defeat","egality","home_team_code","away_team_code"
"1905-02-12","France","Switzerland","1","0","Friendly","Paris","France","FALSE","0","0","100","0","FR","CH"
"1908-03-08","Switzerland","France","1","2","Friendly","Geneva","Switzerland","FALSE","1","0","100","0","CH","FR"
"1908-04-05","Switzerland","Germany","5","3","Friendly","Basel","Switzerland","FALSE","6","33,333333333333336","66,66666666666667","0","CH","DE"
"1909-04-04","Germany","Switzerland","1","0","Friendly","Karlsruhe","Germany","FALSE","6","25","75","0","DE","CH"
"1910-04-03","Switzerland","Germany","2","3","Friendly","Basel","Switzerland","FALSE","8","20","80","0","CH","DE"
"1911-01-08","Switzerland","Hungary","2","0","Friendly","Zürich","Switzerland","FALSE","10","33,333333333333336","66,66666666666667","0","CH","HU"
"1911-03-26","Germany","Switzerland","6","2","Friendly","Stuttgart","Germany","FALSE","12","28,571428571428573","71,42857142857143","0","DE","CH"
"1911-04-23","Switzerland","France","5","2","Friendly","Geneva","Switzerland","FALSE","17","37,5","62,5","0","CH","FR"
"1911-05-07","Italy","Switzerland","2","2","Friendly","Milan","Italy","FALSE","19","33,333333333333336","55,55555555555556","11,11111111111111","IT","CH"
"1911-05-21","Switzerland","Italy","3","0","Friendly","La Chaux-de-Fonds","Switzerland","FALSE","22","40","50","10","CH","IT"
"1911-10-29","Hungary","Switzerland","9","0","Friendly","Budapest","Hungary","FALSE","22","36,36363636363637","54,54545454545455","9,090909090909092","HU","CH"
"1912-02-18","France","Switzerland","4","1","Friendly","Saint-Ouen","France","FALSE","23","33,333333333333336","58,333333333333336","8,333333333333334","FR","CH"
"1912-02-20","Belgium","Switzerland","9","2","Friendly","Antwerp","Belgium","FALSE","25","30,76923076923077","61,53846153846154","7,6923076923076925","BE","CH"
"1912-05-05","Switzerland","Germany","1","2","Friendly","St. Gallen","Switzerland","FALSE","26","28,571428571428573","64,28571428571429","7,142857142857143","CH","DE"
"1913-03-09","Switzerland","France","1","4","Friendly","Geneva","Switzerland","FALSE","27","26,666666666666668","66,66666666666667","6,666666666666667","CH","FR"
"1913-05-04","Switzerland","Belgium","1","2","Friendly","Basel","Switzerland","FALSE","28","25","68,75","6,25","CH","BE"
"1913-05-18","Germany","Switzerland","1","2","Friendly","Freiburg","Germany","FALSE","30","29,41176470588235","64,70588235294117","5,882352941176471","DE","CH"
"1913-11-02","Belgium","Switzerland","2","0","Friendly","Verviers","Belgium","FALSE","30","27,77777777777778","66,66666666666667","5,555555555555555","BE","CH"
"1914-03-08","France","Switzerland","2","2","Friendly","Saint-Ouen","France","FALSE","32","26,31578947368421","63,1578947368421","10,526315789473685","FR","CH"
"1914-04-05","Italy","Switzerland","1","1","Friendly","Genoa","Italy","FALSE","33","25","60","15","IT","CH"
"1914-05-17","Switzerland","Italy","0","1","Friendly","Berne","Switzerland","FALSE","33","23,80952380952381","61,904761904761905","14,285714285714286","CH","IT"
"1915-01-31","Italy","Switzerland","3","1","Friendly","Turin","Italy","FALSE","34","22,727272727272727","63,63636363636363","13,636363636363637","IT","CH"
"1917-12-23","Switzerland","Austria","0","1","Friendly","Basel","Switzerland","FALSE","34","21,73913043478261","65,21739130434783","13,043478260869565","CH","AT"
"1917-12-26","Switzerland","Austria","3","2","Friendly","Zürich","Switzerland","FALSE","37","25","62,5","12,5","CH","AT"
